recipe_id,raw_text,quantity,unit,name,modifiers,normalize,category,synonym_of,plural,needs_attention
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,"600g chicken thighs, sliced",600,g,chicken thighs,sliced,,Meat & Seafood,chicken,chicken thigh,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,400ml coconut milk,400,ml,coconut milk,,coconut milk,Dairy,,,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,4 tbsp green curry paste,4,tbsp,green curry paste,green,,Condiments & Spices,,,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,"2 Thai eggplants, quartered",2,,Thai eggplant,quartered,,Vegetables,eggplant,Thai eggplants,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,"1 red bell pepper, sliced",1,,red bell pepper,sliced,,Vegetables,"bell pepper, sweet pepper",red bell peppers,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,"100g green beans, trimmed",100,g,green beans,trimmed,,Vegetables,"string beans,snap beans",green bean,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,4 kaffir lime leaves,4,,kaffir lime leaves,kaffir,,Condiments & Spices,makrut lime leaves,kaffir lime leaf,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,2 tbsp fish sauce,2,tbsp,fish sauce,,,Condiments & Spices,,,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,1 tbsp palm sugar,1,tbsp,palm sugar,,,Condiments & Spices,jaggery,,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,1 handful Thai basil leaves,1,handful,Thai basil leaves,Thai,,Vegetables,basil,Thai basil leaf,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,"2 red chilies, sliced (optional)",2,,red chilies,sliced (optional),,Condiments & Spices,"red chili,red chilli,red chile",red chili,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,2 tbsp vegetable oil,2,tbsp,vegetable oil,,,Condiments & Spices,cooking oil,,FALSE
9efb4a43-f89d-4bfb-b3ee-e861bdcc5171,"Jasmine rice, to serve",,,rice,"Jasmine, to serve",rice,Grains & Bakery,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,500g boneless chicken thighs,500,g,chicken thighs,boneless,,Meat & Seafood,,chicken thigh,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,3 tbsp plain yogurt,3,tbsp,yogurt,plain,yogurt,Dairy,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,2 tbsp olive oil,2,tbsp,olive oil,,,Condiments & Spices,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,"2 cloves garlic, minced",2,cloves,garlic,minced,garlic,Vegetables,,garlics,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,1 tsp ground cumin,1,tsp,cumin,ground,cumin,Condiments & Spices,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,1 tsp ground coriander,1,tsp,coriander,ground,coriander,Condiments & Spices,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,1/2 tsp turmeric,02-Jan,tsp,turmeric,,turmeric,Condiments & Spices,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,1/2 tsp paprika,02-Jan,tsp,paprika,,,Condiments & Spices,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,1/4 tsp ground cinnamon,04-Jan,tsp,cinnamon,ground,cinnamon,Condiments & Spices,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,Juice of 1 lemon,1,,lemon,juice of 1,,Fruits,,lemons,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,Salt,,,salt,,salt,Condiments & Spices,,salts,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,pepper to taste,,,pepper,to taste,pepper,Condiments & Spices,,peppers,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,Cooked rice,,,rice,cooked,rice,Grains & Bakery,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,couscous (for serving),,,couscous,for serving,,Grains & Bakery,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,"Sliced cucumbers, cherry tomatoes, lettuce (for bowl)",,,cucumbers,sliced,,Vegetables,,cucumber,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,Tahini sauce,,,tahini sauce,tahini,,Condiments & Spices,,,FALSE
94f64477-dca6-463e-9684-b77bfdc1ef02,garlic sauce (for drizzling),,,garlic sauce,for drizzling,,Condiments & Spices,,,FALSE
