recipe_id,raw_text,quantity,unit,name,modifiers,normalized_name,category,synonym_of,plural,attention_needed
80c9e121-37b9-474e-b1ad-05062b20d42e,320g Arborio rice,320,g,Arborio rice,,,Grains,,Arborio rices,False
80c9e121-37b9-474e-b1ad-05062b20d42e,"300g mixed mushrooms (porcini, cremini, shiitake)",300,g,mixed mushrooms,"(porcini, cremini, shiitake)",,,"porcini, cremini, shiitake",mushrooms,False
80c9e121-37b9-474e-b1ad-05062b20d42e,"1 onion, finely diced",1,,onion,finely diced,onion,Vegetables,,onions,False
80c9e121-37b9-474e-b1ad-05062b20d42e,"2 cloves garlic, minced",2,cloves,garlic,minced,garlic,Vegetables,,garlics,False
80c9e121-37b9-474e-b1ad-05062b20d42e,150ml dry white wine,150,ml,white wine,dry,,,,white wines,False
80c9e121-37b9-474e-b1ad-05062b20d42e,"1L vegetable or chicken stock, warm",1,L,vegetable stock,warm,,stock,chicken stock,vegetable stocks,False
80c9e121-37b9-474e-b1ad-05062b20d42e,"60g Parmesan cheese, grated",60,g,Parmesan cheese,grated,,Dairy,Parmiggiano-Reggiano,Parmesan cheeses,False
80c9e121-37b9-474e-b1ad-05062b20d42e,30g butter,30,g,butter,,butter,Dairy,,,False
80c9e121-37b9-474e-b1ad-05062b20d42e,2 tbsp olive oil,2,tbsp,olive oil,2,,,,olive oils,False
80c9e121-37b9-474e-b1ad-05062b20d42e,"2 tbsp fresh parsley, chopped",2,tbsp,parsley,"fresh, chopped",,,,parsleys,False
80c9e121-37b9-474e-b1ad-05062b20d42e,Salt and black pepper to taste,,,Salt,,,,,salts,False
4aa01414-ff71-481f-bffa-0987665a0490,12 corn tortillas,12,,corn,,,,,"corns,corn",False
4aa01414-ff71-481f-bffa-0987665a0490,"3 cups cooked chicken, shredded",3,cup,chicken,"cooked, shredded",,,,chickens,False
4aa01414-ff71-481f-bffa-0987665a0490,2 cups enchilada sauce,2,cups,enchilada sauce,2,,,,enchilada sauces,False
4aa01414-ff71-481f-bffa-0987665a0490,"1 cup Mexican blend cheese, shredded",1,cup,Mexican blend cheese,shredded,,,"Cheese blend, Mexican cheese blend",Mexican blend cheeses,False
4aa01414-ff71-481f-bffa-0987665a0490,"1 onion, diced",1,,onion,diced,onion,Vegetables,,onions,False
4aa01414-ff71-481f-bffa-0987665a0490,"2 cloves garlic, minced",2,cloves,garlic,minced,garlic,Vegetables,,garlics,False
4aa01414-ff71-481f-bffa-0987665a0490,"1 bell pepper, diced",1,1,bell pepper,diced,,vegetable,,bell peppers,False
4aa01414-ff71-481f-bffa-0987665a0490,1 tbsp vegetable oil,1,tbsp,vegetable oil,,,,"cooking oil, plant-based oil",vegetable oils,False
4aa01414-ff71-481f-bffa-0987665a0490,1 tsp ground cumin,1,tsp,cumin,ground,,,,"cumins,cumin seeds",False
4aa01414-ff71-481f-bffa-0987665a0490,1 tsp dried oregano,1,tsp,oregano,dried,,,,"oreganos,oregani",False
4aa01414-ff71-481f-bffa-0987665a0490,1/2 tsp chili powder,1.5,tsp,chili powder,,chili powder,Condiments & Spices,,,False
4aa01414-ff71-481f-bffa-0987665a0490,Salt and pepper to taste,,,Salt,to taste,,,,salts,False
4aa01414-ff71-481f-bffa-0987665a0490,"For garnish: cilantro, sour cream, avocado slices",,,cilantro,,,,coriander,cilantros,False
4aa01414-ff71-481f-bffa-0987665a0490,"For garnish: cilantro, sour cream, avocado slices",,,cilantro,,,,coriander,"cilantros,cilantrum",False
4aa01414-ff71-481f-bffa-0987665a0490,"For garnish: cilantro, sour cream, avocado slices",,,cilantro,,,,coriander,cilantros,False
